Mobile Name,RAM GB,ROM GB,Ratings,Reviews,Stars,List Price,Sales Price
"OPPO Reno2 F (Lake Green, 256 GB)",6 GB,256 GB,74000,6737,4.4,19990,17990
"realme 5 Pro (Sparkling Blue, 64 GB)",6 GB,64 GB,114628,11102,4.5,15999,14999
"Itel vision 1 pro (OCEAN BLUE, 32 GB)",2 GB,32 GB,9,0,4,6790,6698
LAVA H1 Hero 600,24 MB,24 MB,1303,111,3.9,799,738
LAVA H1 Hero 600,24 MB,24 MB,1303,111,3.9,799,711
"OPPO A5s (Black, 64 GB)",4 GB,64 GB,37929,2415,4.4,1175,11980
Kechaoda A 31,32 MB,32 MB,115,7,4,999,929
Muphone M380,32 MB,32 MB,60,7,4.1,1099,899
Itel IT5618N,32 MB,32 MB,11,2,4.3,889,1299
KXD C1,32 MB,32 MB,94,4,3.6,898,657
KARBONN K19 Rock,32 MB,32 MB,2480,222,3.9,34990,874
KARBONN KX1,32 MB,32 MB,1008,84,3.9,1454,799
Kechaoda A27,32 MB,32 MB,2921,262,4.1,32990,895
Kechaoda A27,32 MB,32 MB,2921,262,4.1,679,876
Good One Magic,32 MB,32 MB,2037,175,4,1699,1499
KARBONN KX19,32 MB,32 MB,136,14,4.1,1849,899
KARBONN KX19,32 MB,32 MB,136,14,4.1,,899
"ViVO V19 (Mystic Silver, 256 GB)",8 GB,256 GB,12687,1300,4.4,,27990
LAVA Flip,56 MB,56 MB,25,2,4.6,,1879
Itel it5260,8 MB,8 MB,361,43,4.1,,1314
"ViVO V17Pro (Glacier Ice White, 128 GB)",8 GB,128 GB,7488,623,4.5,,29499
GFive U106,32 MB,64 MB,363,28,3.7,,643
MarQ By Flipkart 110 Magic,32 MB,32 MB,2555,353,3.9,,969
Micromax X419,32 MB,32 MB,374,32,4.1,,999
BlackZone B310,10 MB,10 MB,1494,115,3.9,849,779
BlackZone B310,10 MB,10 MB,1494,115,3.9,849,779
BlackZone B310,10 MB,10 MB,1494,115,3.9,849,779
"POCO X2 (Matrix Purple, 128 GB)",6 GB,128 GB,255284,27873,4.5,19999,15999
SAMSUNG Guru FM Plus,,128 MB,21692,2009,4.2,1570,1569
Geotel K9 Flip,32 MB,32 MB,3,0,3.7,18298,1349
Geotel K9 Flip,32 MB,32 MB,3,0,3.7,21990,1349
Geotel K9 Flip,32 MB,32 MB,3,0,3.7,19990,1349
Tork T3,32 MB,32 MB,109,9,3.7,26999,899
"OPPO F17 (Navy Blue, 128 GB)",8 GB,128 GB,685,51,4.3,27990,17383
"OPPO A9 2020 (Marine Green, 128 GB)",8 GB,128 GB,57966,5155,4.3,30990,15990
"Huawei Y9 Prime 2019 (Sapphire Blue, 128 GB)",4 GB,128 GB,1034,109,4.3,30990,16899
KARBONN KX1,32 MB,32 MB,1008,84,3.9,20990,798
"realme X3 (Arctic White, 128 GB)",6 GB,128 GB,2502,318,4.4,2399,24999
"ViVO V20 (Midnight Jazz, 128 GB)",8 GB,128 GB,20879,2342,4.3,990,24990
"ViVO V20 (Midnight Jazz, 256 GB)",8 GB,256 GB,20879,2342,4.3,12999,27990
"ViVO V20 (Sunset Melody, 256 GB)",8 GB,256 GB,20879,2342,4.3,,27990
GreenBerry M2 Mini,32 MB,32 MB,31,11,4.3,,1399
"OPPO F15 (Blazing Blue, 128 GB)",4 GB,128 GB,38035,3230,4.4,,15990
Micromax X750,32 MB,32 MB,1414,168,4.1,,1299
KARBONN K310n,10 MB,10 MB,1280,193,3.9,,698
KARBONN KX1i,32 MB,32 MB,104,3,4,,780
"Redmi Note 8 (Cosmic Purple, 64 GB)",4 GB,64 GB,49504,3632,4.4,,12739
Kechaoda K2,32 MB,32 MB,313,33,3.8,,900
"OPPO A15 (Dynamic Black, 32 GB)",3 GB,32 GB,204,10,4.3,9989,8990
Kechaoda K123,32 MB,32 MB,183,32,4.1,1799,1699
"SAMSUNG Galaxy M11 (Black, 32 GB)",3 GB,32 GB,9838,824,4.2,18999,10675
"GIONEE F11 (Blue, 32 GB)",3 GB,32 GB,43,1,3.7,14999,6799
KARBONN K7 Power,32 MB,32 MB,1530,182,3.7,1999,899
Itel it5607,32 MB,32 MB,489,48,4.1,1199,1125
Itel it5607,32 MB,32 MB,489,48,4.1,1399,1117
"SAMSUNG Galaxy A21s (Blue, 128 GB)",6 GB,128 GB,6204,577,4.2,769,17499
Kechaoda K9,32 MB,64 MB,1381,147,4.1,14000,1099
Kechaoda K9,32 MB,64 MB,1381,147,4.1,985,1140
"realme X2 (Pearl Blue, 128 GB)",8 GB,128 GB,44921,5192,4.5,,20999
"realme 6 (Comet Blue, 64 GB)",4 GB,64 GB,83671,8876,4.4,,13999
Kechaoda K108,64 MB,64 MB,53,12,4,,1799
Kechaoda K102,32 MB,64 MB,3,0,4.7,,999
"realme X (Space Blue, 128 GB)",4 GB,128 GB,106325,13649,4.5,,17999
Tork T13 Banana,32 MB,32 MB,501,42,4,,849
KXD M3+,32 MB,32 MB,37,3,4.1,,799
ANGAGE A312,64 MB,64 MB,54,2,3.4,,699
"LG K42 (Green, 64 GB)",3 GB,64 GB,1461,275,3.7,,10990
"OPPO A15s (Rainbow Silver, 128 GB)",4 GB,128 GB,107,4,4.4,,12490
LAVA ARC 22,,32 GB,275,26,3.7,,1799
Forme Duos1900,32 MB,32 MB,115,21,4,,1099
Kechaoda K33,32 MB,32 MB,4311,339,4.1,,958
Rokea R222,256 MB,32 MB,39,7,3.4,,799
Kechaoda A27,32 MB,32 MB,2921,262,4.1,898,895
Good One Magic,32 MB,32 MB,2037,175,4,2200,1399
LAVA A1200,32 MB,24 MB,1933,232,4.2,12990,1249
Forme N1,32 MB,32 MB,10354,1644,3.6,47900,740
"APPLE iPhone 12 Pro Max (Pacific Blue, 512 GB)",,512 GB,551,44,4.6,20999,159900
KARBONN K-Stylo,12 MB,32 MB,3518,316,3.9,899,1249
Lava Pulse1- with contactless Talking Thermometer,32 MB,32 MB,61,6,4,1175,1595
"Redmi 6A (Black, 16 GB)",2 GB,16 GB,53920,3724,4.3,1175,7399
GFive A1 & A2 Combo of Two Mobiles,32 MB,32 MB,50,2,3.7,29999,1259
"OPPO A5 2020 (Mirror Black, 64 GB)",3 GB,64 GB,2885,230,4.4,,12799
GFive i1,32 MB,32 MB,22,9,3.8,,749
Jivi N300 New,5 MB,32 MB,45,2,4,,949
Tork T27 Power,32 MB,32 MB,200,17,3.5,,1149
"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)",,64 GB,77597,6641,4.6,,38999
"OPPO A5s (Blue, 64 GB)",4 GB,64 GB,37929,2415,4.4,,11450
"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)",6 GB,128 GB,23474,1899,4.4,,19799
I Kall K22 Combo of Two Mobiles,32 MB,32 MB,342,24,3.4,,1299
KARBONN K106S,10 MB,10 MB,30,3,3.6,,827
Muphone M 230,64 MB,64 MB,115,7,4,,1199
Kechaoda A 31,32 MB,32 MB,115,7,4,,929
Kechaoda A 31,32 MB,32 MB,225,21,4,,929
KARBONN KX5,32 MB,32 MB,6452,1042,4.3,,969
"SAMSUNG Galaxy F62 (Laser Grey, 128 GB)",6 GB,128 GB,513,35,4.2,,23999
"SAMSUNG Galaxy M01s (Gray, 32 GB)",3 GB,32 GB,,,3.6,,9699
"APPLE iPhone 12 (White, 128 GB)",,128 GB,1891,169,4.7,47900,84900
I Kall K33 New,32 MB,64 MB,2134,276,3.6,1199,799
"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)",,64 GB,77544,6632,4.6,1198,38999
"Redmi 5A (Blue, 32 GB)",3 GB,32 GB,605616,65287,4.4,1180,6999
"SAMSUNG Galaxy M21 (Raven Black, 128 GB)",6 GB,128 GB,1268,92,4.2,39900,15499
Itel it5026,4 MB,4 MB,34,2,3.8,29999,1198
Itel it5026,32 MB,256 KB,7,0,4.4,31999,1199
Itel Power 110,4 MB,4 MB,9,0,3.8,59900,1190
Itel Power 110,4 MB,4 MB,9,0,3.8,1360,1085
"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)",,64 GB,93164,7966,4.5,2790,29999
"SAMSUNG Galaxy F62 (Laser Blue, 128 GB)",6 GB,128 GB,6352,1031,4.3,1399,23999
"APPLE iPhone 12 (White, 64 GB)",,64 GB,1891,169,4.7,34999,79900
"SAMSUNG Galaxy F62 (Laser Grey, 128 GB)",8 GB,128 GB,3224,524,4.3,944,25999
"Apple iPhone 11 (Purple, 128 GB) (Includes EarPods, Power Adapter)",,128 GB,36305,2815,4.6,1499,53999
Micromax X754,32 MB,32 MB,6,0,4,,1350
Easyfone Marvel,32 MB,32 MB,80,10,4.1,,2699
KXD M2+,32 MB,32 MB,20,2,3.7,,799
SAMSUNG Metro 313,4 MB,2.27 MB,1720,158,4.2,,2340
"SAMSUNG Galaxy A71 (Prism Crush Blue, 128 GB)",8 GB,128 GB,5808,724,4.4,,27999
KARBONN KX26i,32 MB,32 MB,176,16,4,,1049
"realme X (Space Blue, 128 GB)",8 GB,128 GB,43139,5224,4.5,,20999
Salora Vishaal,32 MB,32 MB,26,2,3.8,,924
Kechaoda K-55 Plus,512 MB,32 MB,8066,746,4,,946
Kechaoda K-55 Plus,512 MB,32 MB,8066,746,4,,920
I Kall K666+ SMART SERIES,64 MB,64 MB,3,1,3.7,34999,1399
KARBONN KX26i,32 MB,32 MB,176,16,4,944,1049
"SAMSUNG Galaxy A71 (Prism Crush Blue, 128 GB)",8 GB,128 GB,5811,724,4.4,1499,27999
SAMSUNG Metro 313,4 MB,2.27 MB,1720,158,4.2,54900,2340
"realme X (Space Blue, 128 GB)",8 GB,128 GB,43145,5224,4.5,20990,20999
Salora Vishaal,32 MB,32 MB,26,2,3.8,20990,924
Kechaoda K-55 Plus,512 MB,32 MB,8069,746,4,1625,946
Kechaoda K-55 Plus,512 MB,32 MB,8069,746,4,819,920
KARBONN KX 10i,32 MB,32 MB,21,2,3.9,15990,789
KARBONN KX 10i,32 MB,32 MB,21,2,3.9,7190,799
"Apple iPhone 11 (Black, 64 GB) (Includes EarPods, Power Adapter)",,64 GB,36457,2831,4.6,789,46999
Good One G2 MINI,64 MB,64 MB,8,1,4.1,,1399
"OPPO F15 (Lightening Black, 128 GB)",4 GB,128 GB,38035,3230,4.4,,15990
"OPPO F15 (Unicorn White, 128 GB)",4 GB,128 GB,38035,3230,4.4,,15990
SAMSUNG Guru FM Plus,,,21692,2009,4.2,,1567
Grabo 220,64 MB,64 MB,114,13,3.6,,749
Kechaoda A29,32 MB,32 MB,20,1,4.1,,1099
Kechaoda A29,32 MB,32 MB,20,1,4.1,,1099
Kechaoda A29,32 MB,32 MB,20,1,4.1,,1099
"ViVO Z1Pro (Sonic Black, 64 GB)",4 GB,64 GB,354415,35385,4.5,,14990
"Alcatel 5V (Spectrum Black, 32 GB)",3 GB,32 GB,169,37,4.3,,6999
"realme X2 (Pearl Green, 128 GB)",6 GB,128 GB,22282,2558,4.5,,19999
"realme X2 (Pearl White, 128 GB)",6 GB,128 GB,22282,2558,4.5,,19999
Grabo HULK,64 MB,64 MB,373,30,3.5,,719
